ANIMAL_NUMBER,SEX,DOSE_CODE,TIME_OF_TESTING,HOME_CAGE_POSTURE,PALPEBRAL_CLOSURE,EASE_OF_REMOVAL,EASE_OF_HANDLING,LACRIMATION,PALPEBRAL_CLOSURE,PILOERECTION,SALIVATION,REARS,URINATION,DEFECATION,CLONIC_CONVULSIONS,TONIC_CONVULSIONS,GAIT_SCORE,MOBILITY_SCORE,AROUSAL,VOCALIZATIONS,APPROACH_RESPONSE,TOUCH_RESPONSE,CLICK_RESPONSE,TAIL_PINCH_RESPONSE,PUPIL_RESPONSE,RIGHTING_REFLEX,FOOT_SPLAY,FORELIMB_GRIP,HINDLIMB_GRIP,BODY_WEIGHT,BODY_TEMPERATURE,AUTONOMIC_SUM,CNS_ACTIVITY_SUM,CNS_EXCITAB_SUM,NEUROMUSC_SUM,SENSORIMOTOR_SUM,PHYSIOLOGICAL_SUM
10,F,1500,0,1,1,2,1,1,1,1,1,4,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,6,8,6,4,3
10,F,1500,4,1,1,3,2,1,1,1,1,1,3,1,2,1,1,1,4,1,1,1,1,1,3,3,1,4,3,1,2,10,3,13,13,4,4
10,F,1500,24,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,1,6,3,10,8,6,3
12,F,1500,0,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,8,4,7,9,4,3
12,F,1500,4,1,1,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,4,8,3,8,11,4,6
12,F,1500,24,1,1,3,3,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1,1,3,11,5,10,8,5,5
17,F,1500,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,8,3,7,9,4,3
17,F,1500,4,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,3,1,2,1,1,6,4,7,11,6,3
17,F,1500,24,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,6,3,8,7,5,3
21,F,1500,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,8,3,7,8,4,9
21,F,1500,4,1,2,2,1,3,1,1,1,3,1,1,2,1,1,1,4,1,3,1,1,3,3,1,1,4,2,4,2,10,6,11,10,8,7
21,F,1500,24,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,3,2,2,1,1,4,2,10,3,7,9,5,7
30,F,1500,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,3,6,3,9,6,5,7
30,F,1500,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,1,3,1,1,2,2,4,4,2,1,6,3,9,15,8,4
30,F,1500,24,1,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,2,3,1,1,1,2,1,3,10,4,7,7,6,5
41,F,1500,0,1,1,3,3,1,1,1,1,4,3,1,1,1,1,1,2,1,2,3,1,1,1,1,2,3,1,4,4,8,6,11,9,7,9
41,F,1500,4,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,4,1,1,1,1,1,1,2,4,2,6,5,10,8,7,7
41,F,1500,24,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1,3,8,3,7,9,6,5
42,F,1500,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,3,3,8,3,8,9,5,7
42,F,1500,4,1,1,2,1,3,1,1,1,2,1,1,1,1,2,1,3,1,3,1,1,3,3,1,1,4,2,1,1,10,4,9,11,8,3
42,F,1500,24,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,4,1,1,1,1,6,4,8,10,6,3
6,F,5000,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,2,1,4,6,3,8,8,6,6
6,F,5000,4,3,1,2,3,3,1,1,1,3,1,1,1,1,3,3,4,1,3,3,4,4,3,4,4,.,.,1,4,10,7,12,14,14,6
6,F,5000,24,3,2,1,3,3,3,1,3,1,3,1,1,1,4,4,4,1,1,3,3,3,3,4,4,.,.,2,4,16,6,11,16,10,7
14,F,5000,0,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,10,5,10,9,4,3
14,F,5000,4,3,2,2,3,3,1,1,1,1,3,1,1,1,3,3,4,1,3,3,3,4,3,4,4,.,4,1,4,12,6,12,18,13,6
14,F,5000,24,3,2,1,3,4,3,1,1,1,1,1,1,1,4,4,4,1,1,3,3,3,3,4,.,.,.,1,4,13,6,11,12,10,6
16,F,5000,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,6,3,9,7,4,5
16,F,5000,4,1,1,2,3,1,1,1,1,1,1,1,1,1,2,2,4,1,3,3,3,3,3,3,4,.,4,1,4,8,3,12,15,12,6
16,F,5000,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
26,F,5000,0,1,1,2,3,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,8,4,9,7,6,5
26,F,5000,4,3,1,2,3,3,1,1,3,1,2,1,1,1,4,3,4,1,3,3,3,4,3,4,4,.,4,4,4,13,5,12,19,13,9
26,F,5000,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
31,F,5000,0,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,8,3,7,11,4,3
31,F,5000,4,3,1,2,1,3,1,1,1,3,1,1,4,1,3,3,4,1,3,3,3,4,3,4,4,.,4,1,4,10,7,13,18,13,6
31,F,5000,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
36,F,5000,0,1,1,2,3,1,1,1,1,2,4,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,4,4,9,4,11,9,4,9
36,F,5000,4,3,1,2,3,3,1,1,1,1,2,1,1,1,4,3,4,1,3,3,4,4,3,4,4,.,4,4,4,11,5,12,19,14,9
36,F,5000,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
38,F,5000,0,1,1,2,1,1,1,1,1,4,3,1,2,1,1,1,2,1,2,3,1,1,1,1,2,3,2,4,4,8,6,9,10,7,9
38,F,5000,4,3,1,2,3,3,1,1,3,3,1,1,3,1,4,4,4,1,3,3,4,4,3,4,4,.,.,4,4,12,7,14,16,14,9
38,F,5000,24,3,2,1,3,3,3,1,1,1,1,1,1,1,4,3,4,1,1,3,3,3,3,4,3,.,.,1,4,12,6,11,14,10,6
43,F,5000,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,4,6,3,8,6,6,6
43,F,5000,4,1,1,2,2,3,1,3,3,1,1,1,2,1,2,2,4,1,3,1,1,4,3,3,4,.,4,1,4,12,3,12,15,9,8
43,F,5000,24,3,2,1,3,3,2,1,3,1,1,1,1,1,4,4,4,1,1,3,3,3,3,4,.,.,.,1,4,13,6,11,12,10,6
